,,200,2000,600
19/09:00:20,255.25,255.2326927,255.2820324,255.256604
19/09:00:20,255.25,255.2328649,255.2820003,255.2565821
19/09:00:20,255.25,255.2330354,255.2819684,255.2565602
19/09:00:20,255.25,255.2332042,255.2819364,255.2565383
19/09:00:21,255.3,255.2338688,255.2819545,255.256683
19/09:00:21,255.25,255.2340293,255.2819225,255.2566607
19/09:00:21,255.25,255.2341882,255.2818906,255.2566386
19/09:00:21,255.25,255.2343456,255.2818587,255.2566165
19/09:00:21,255.25,255.2345013,255.2818269,255.2565944
19/09:00:21,255.25,255.2346556,255.2817951,255.2565725
19/09:00:21,255.25,255.2348082,255.2817633,255.2565506
19/09:00:21,255.25,255.2349594,255.2817316,255.2565288
19/09:00:21,255.25,255.2351091,255.2816999,255.2565071
19/09:00:21,255.25,255.2352572,255.2816682,255.2564854
19/09:00:22,255.25,255.2354039,255.2816365,255.2564639
19/09:00:22,255.25,255.2355491,255.2816049,255.2564424
19/09:00:22,255.25,255.2356929,255.2815733,255.2564209
19/09:00:22,255.25,255.2358353,255.2815417,255.2563995
19/09:00:22,255.25,255.2359762,255.2815102,255.2563783
19/09:00:22,255.3,255.2366133,255.2815287,255.2565234
19/09:00:22,255.25,255.2367465,255.2814972,255.2565017
19/09:00:23,255.25,255.2368784,255.2814657,255.2564801
19/09:00:23,255.25,255.2370089,255.2814343,255.2564585
19/09:00:23,255.25,255.2371382,255.2814028,255.256437
19/09:00:23,255.25,255.2372662,255.2813715,255.2564156
19/09:00:23,255.25,255.2373929,255.2813401,255.2563942
19/09:00:25,255.3,255.2380158,255.2813587,255.2565394
19/09:00:25,255.35,255.2391301,255.2814274,255.2568504
19/09:00:25,255.3,255.2397358,255.2814459,255.256994
19/09:00:25,255.3,255.2403354,255.2814645,255.2571371
19/09:00:25,255.35,255.2414266,255.281533,255.2574461
19/09:00:25,255.3,255.2420094,255.2815514,255.2575877
19/09:00:25,255.3,255.2425865,255.2815699,255.2577289
19/09:00:25,255.3,255.2431577,255.2815883,255.2578695
19/09:00:25,255.3,255.2437233,255.2816067,255.2580097
19/09:00:25,255.25,255.2437858,255.2815751,255.2579831
19/09:00:26,255.35,255.2448426,255.2816435,255.2582893
19/09:00:26,255.35,255.245889,255.2817118,255.2585945
19/09:00:26,255.35,255.2469249,255.2817801,255.2588987
19/09:00:26,255.35,255.2479505,255.2818482,255.2592018
19/09:00:26,255.35,255.2489659,255.2819164,255.259504
19/09:00:26,255.35,255.2499713,255.2819844,255.2598051
19/09:00:26,255.3,255.2504691,255.2820024,255.2599389
19/09:00:26,255.3,255.2509619,255.2820204,255.2600722
19/09:00:27,255.35,255.2519474,255.2820884,255.2603715
19/09:00:27,255.35,255.252923,255.2821562,255.2606697
19/09:00:27,255.35,255.2538889,255.282224,255.260967
